Name	WMC	DIT	NOCC	CBO	RFC	LCOM	WMC*	NOM	MPC	DAC	SIZE1	SIZE2	DSC	NOH	ANA	DAM	DCC	CAMC	MOA	MFA	NOP	CIS	NPM	Reusability	Flexibility	Understandability	Functionality	Extendibility	Effectiveness	FanIn	ClassNames
MPChartExample/src/com/xxmassdeveloper/mpchartexample/realm/RealmDatabaseActivityRadar.java	3.0	0	0	3.0	5.0	3.0	0.75	3.0	2.0	1	47	4	1	0	1	1.0	3.0	0.3333333333333333	1	0.0	0	0	0	-0.16666666666666663	0.0	-2.2	0.26	-1.0	0.6000000000000001	1	com.xxmassdeveloper.mpchartexample.realm.RealmDatabaseActivityRadar
MPChartLib/src/main/java/com/github/mikephil/charting/renderer/BarLineScatterCandleBubbleRenderer.java	3.0	2	3	10.0	30.0	1.0	2.5	3.0	27.0	1	64	7	2	0	1	1.0	10.0	1.5	1	0.9166666666666666	0	1	1	-0.625	-1.75	-4.455	0.8400000000000001	-4.041666666666667	0.7833333333333334	13	com.github.mikephil.charting.renderer.BarLineScatterCandleBubbleRenderer.XBounds/com.github.mikephil.charting.renderer.BarLineScatterCandleBubbleRenderer
MPChartLib/src/main/java/com/github/mikephil/charting/utils/ViewPortHandler.java	69.0	0	1	3.0	99.0	2346.0	1.1594202518463135	69.0	30.0	0	317	86	1	0	0	1.0	3.0	0.10869565217391304	0	0.0	0	69	69	34.27717391304348	-0.5	-23.724130434782605	15.41304347826087	-1.5	0.2	50	com.github.mikephil.charting.utils.ViewPortHandler
MPChartLib/src/main/java/com/github/mikephil/charting/renderer/AxisRenderer.java	10.0	1	2	7.0	46.0	45.0	3.3333332538604736	10.0	36.0	2	165	16	1	0	1	1.0	7.0	0.23333333333333334	2	0.5238095238095238	4	9	9	3.3083333333333336	1.5	-7.183	3.108	-0.7380952380952381	1.704761904761905	8	com.github.mikephil.charting.renderer.AxisRenderer
MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/CustomScatterShapeRenderer.java	1.0	1	0	2.0	3.0	0.0	0.5	1.0	2.0	0	12	1	1	0	1	-1.0	2.0	1.0	0	0.0	0	1	1	0.75	-0.75	-1.6500000000000001	0.5599999999999999	-0.5	0.0	0	com.xxmassdeveloper.mpchartexample.custom.CustomScatterShapeRenderer
MPChartExample/src/com/xxmassdeveloper/mpchartexample/InvertedLineChartActivity.java	9.0	0	0	13.0	45.0	36.0	2.4000000953674316	9.0	36.0	1	223	12	1	0	0	1.0	13.0	0.14814814814814814	1	0.0	0	7	7	0.7870370370370372	-2.5	-7.211111111111111	1.7777777777777777	-6.5	0.4	1	com.xxmassdeveloper.mpchartexample.InvertedLineChartActivity
MPChartLib/src/main/java/com/github/mikephil/charting/formatter/LargeValueFormatter.java	6.0	2	0	4.0	17.0	15.0	1.0	6.0	11.0	0	34	10	1	0	1	1.0	4.0	0.1875	0	0.0	0	5	5	2.046875	-0.75	-3.568125	1.3425	-1.5	0.4	2	com.github.mikephil.charting.formatter.LargeValueFormatter
MPChartLib/src/main/java/com/github/mikephil/charting/renderer/DataRenderer.java	11.0	1	3	8.0	26.0	55.0	1.0	11.0	15.0	1	34	16	1	0	1	1.0	8.0	0.13636363636363635	1	0.5	5	9	9	3.034090909090909	1.25	-8.205	3.316363636363637	-0.75	1.7000000000000002	14	com.github.mikephil.charting.renderer.DataRenderer
MPChartLib/src/main/java/com/github/mikephil/charting/highlight/ChartHighlighter.java	10.0	1	2	11.0	70.0	45.0	2.0	10.0	60.0	0	131	12	1	0	1	1.0	11.0	0.22857142857142856	0	0.0	0	2	2	-1.192857142857143	-2.5	-7.184571428571429	0.6874285714285714	-5.0	0.4	5	com.github.mikephil.charting.highlight.ChartHighlighter
MPChartLib/src/test/java/com/github/mikephil/charting/test/ObjectPoolTest.java	6.0	1	0	5.0	33.0	10.0	1.5	6.0	27.0	1	237	9	2	0	1	-0.6666666666666667	5.0	-0.8	0	0.7058823529411765	0	5	5	2.05	-1.4166666666666667	-5.104000000000001	1.444	-1.6470588235294117	0.20784313725490197	2	com.github.mikephil.charting.test.ObjectPoolTest/com.github.mikephil.charting.test.ObjectPoolTest.TestPoolable
