Name	WMC	DIT	NOCC	CBO	RFC	LCOM	WMC*	NOM	MPC	DAC	SIZE1	SIZE2	DSC	NOH	ANA	DAM	DCC	CAMC	MOA	MFA	NOP	CIS	NPM	Reusability	Flexibility	Understandability	Functionality	Extendibility	Effectiveness	FanIn	ClassNames
MPChartLib/src/com/github/mikephil/charting/charts/RadarChart.java	29.0	0	0	15.0	81.0	406.0	1.3448275327682495	29.0	52.0	4	188	40	1	0	1	1.0	15.0	0.06321839080459771	4	0.0	0	23	23	8.26580459770115	-1.5	-14.829137931034483	5.287586206896551	-7.0	1.2000000000000002	1	com.github.mikephil.charting.charts.RadarChart
MPChartLib/src/com/github/mikephil/charting/formatter/DefaultFillFormatter.java	1.0	1	0	6.0	21.0	0.0	2.5	1.0	20.0	0	33	1	1	0	1	-1.0	6.0	1.0	0	0.0	0	1	1	-0.25	-1.75	-2.97	0.5599999999999999	-2.5	0.0	0	com.github.mikephil.charting.formatter.DefaultFillFormatter
MPChartLib/src/com/github/mikephil/charting/components/ComponentBase.java	12.0	0	2	2.0	14.0	66.0	1.1666666269302368	12.0	2.0	0	32	18	1	1	0	1.0	2.0	0.125	0	0.0	0	12	12	6.03125	-0.25	-4.57875	3.0950000000000006	-1.0	0.2	34	com.github.mikephil.charting.components.ComponentBase
MPChartExample/src/com/xxmassdeveloper/mpchartexample/InvertedLineChartActivity.java	9.0	0	0	11.0	40.0	36.0	2.700000047683716	9.0	31.0	1	244	12	1	0	0	1.0	11.0	0.16049382716049382	1	0.0	0	7	7	1.2901234567901234	-2.0	-6.547037037037038	1.7792592592592593	-5.5	0.4	1	com.xxmassdeveloper.mpchartexample.InvertedLineChartActivity
MPChartExample/src/com/xxmassdeveloper/mpchartexample/LineChartActivityColored.java	3.0	0	0	8.0	13.0	3.0	0.75	3.0	10.0	1	99	6	1	0	1	1.0	8.0	0.4	1	0.0	0	0	0	-1.4	-1.25	-3.8280000000000003	0.268	-3.5	0.6000000000000001	1	com.xxmassdeveloper.mpchartexample.LineChartActivityColored
MPChartLib/src/com/github/mikephil/charting/listener/OnDrawListener.java	3.0	0	0	1.0	3.0	3.0	0.75	3.0	0.0	0	0	3	1	0	0	-1.0	1.0	0.5	0	0.0	0	0	0	0.375	-0.5	-1.815	0.28	-0.5	-0.2	1	com.github.mikephil.charting.listener.OnDrawListener
MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleBubbleData.java	0.0	1	6	1.0	0.0	0.0	-1.0	0.0	0.0	0	10	0	1	0	1	-1.0	1.0	-1.0	0	1.0	0	0	0	0.0	-0.5	-1.6500000000000001	0.1	0.5	0.2	7	com.github.mikephil.charting.data.BarLineScatterCandleBubbleData
MPChartLib/src/com/github/mikephil/charting/charts/PieChart.java	45.0	0	0	11.0	85.0	990.0	1.2666666507720947	45.0	40.0	0	251	58	1	0	1	1.0	11.0	0.06666666666666667	0	0.0	0	37	37	16.266666666666666	-2.5	-18.788	8.368	-5.0	0.4	1	com.github.mikephil.charting.charts.PieChart
MPChartExample/src/com/xxmassdeveloper/mpchartexample/HorizontalBarChartActivity.java	9.0	0	0	9.0	32.0	36.0	2.5999999046325684	9.0	23.0	1	214	13	1	0	0	1.0	9.0	0.16049382716049382	1	0.0	0	7	7	1.7901234567901234	-1.5	-5.887037037037038	1.7792592592592593	-4.5	0.4	1	com.xxmassdeveloper.mpchartexample.HorizontalBarChartActivity
MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/MyCustomXAxisValueFormatter.java	1.0	1	0	1.0	3.0	0.0	4.0	1.0	2.0	0	16	1	1	0	1	-1.0	1.0	1.0	0	0.0	0	1	1	1.0	-0.5	-1.32	0.5599999999999999	0.0	0.0	0	com.xxmassdeveloper.mpchartexample.custom.MyCustomXAxisValueFormatter
MPChartLib/src/com/github/mikephil/charting/formatter/ValueFormatter.java	1.0	0	0	2.0	1.0	0.0	0.5	1.0	0.0	0	0	1	1	0	0	-1.0	2.0	1.0	0	0.0	0	0	0	0.25	-0.75	-1.32	0.33999999999999997	-1.0	-0.2	6	com.github.mikephil.charting.formatter.ValueFormatter
MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/SimpleFragment.java	7.0	0	5	11.0	33.0	21.0	1.0	7.0	26.0	0	156	9	1	1	0	1.0	11.0	0.22857142857142856	0	0.0	0	1	1	-1.692857142857143	-2.5	-5.864571428571429	0.6874285714285714	-5.5	0.2	6	com.xxmassdeveloper.mpchartexample.fragments.SimpleFragment
MPChartLib/src/com/github/mikephil/charting/formatter/ColorFormatter.java	1.0	0	0	1.0	1.0	0.0	0.5	1.0	0.0	0	0	1	1	0	0	-1.0	1.0	1.0	0	0.0	0	0	0	0.5	-0.5	-0.99	0.33999999999999997	-0.5	-0.2	0	com.github.mikephil.charting.formatter.ColorFormatter
MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/BarChartFrag.java	8.0	0	0	3.0	10.0	28.0	0.8888888955116272	8.0	2.0	1	58	9	1	0	1	1.0	3.0	0.3	1	0.0	0	8	8	3.825	0.0	-3.861	2.016	-1.0	0.6000000000000001	1	com.xxmassdeveloper.mpchartexample.fragments.BarChartFrag
MPChartLib/src/com/github/mikephil/charting/matrix/Vector3.java	17.0	0	0	1.0	26.0	136.0	1.1176470518112183	17.0	9.0	4	77	24	1	0	0	0.0	1.0	0.4117647058823529	4	0.0	0	17	17	8.852941176470589	1.75	-6.134117647058824	4.009411764705883	-0.5	0.8	1	com.github.mikephil.charting.matrix.Vector3
MPChartLib/src/com/github/mikephil/charting/highlight/HorizontalBarHighlighter.java	3.0	2	0	10.0	36.0	3.0	2.6666667461395264	3.0	33.0	0	75	3	1	0	1	-1.0	10.0	1.0	0	0.88	0	1	1	-1.25	-2.75	-4.95	0.5599999999999999	-4.06	0.17600000000000002	1	com.github.mikephil.charting.highlight.HorizontalBarHighlighter
MPChartLib/src/com/github/mikephil/charting/interfaces/BubbleDataProvider.java	1.0	2	0	2.0	1.0	0.0	0.5	1.0	0.0	0	0	1	1	0	2	-1.0	2.0	-1.0	0	0.984375	0	0	0	-0.25	-0.75	-2.64	0.1	0.4921875	0.39687500000000003	1	com.github.mikephil.charting.interfaces.BubbleDataProvider
