First process instance # in stats,6
Last process instance # in stats,45

Resource utilization
Resource,Utilization %
Automated Service,QBP_SERVICE_RESOURCE_ID,0
ΥΠΑΛΛΗΛΟΣ ,Lane_1e0apjd,0
ΠΡΟΪΣΤΑΜΕΝΟΣ,Lane_0sth802,1

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
EVENT 1 END MESSAGE,Process_omwnhfb.Event_1gievgu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
GATEWAY 6 XOR,Process_omwnhfb.Gateway_10z78ek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
ΑΝΑΖΗΤΗΣΗ ΠΟΛΙΤΗ ΣΤΟ ΠΣ ΜΗΤΡΩΟΥ ΠΟΛΙΤΩΝ,Process_omwnhfb.Activity_1sgqukl,65.0633,18.419,111.442,2602.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18073138888888884,0.05116388888888889,0.30956111111111106,7.229255555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
ΑΠΟΣΤΟΛΗ ΛΗΞΙΑΡΧΙΚΗΣ ΠΡΑΞΗΣ ΣΤΟ ΚΕΠ,Process_omwnhfb.Activity_03b1v98,75.66523076923079,5.543,149.905,2950.944000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2101811965811966,0.015397222222222222,0.4164027777777778,8.197066666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
ΕΓΚΡΙΣΗ ΚΑΙ ΥΠΟΓΡΑΦΗ ΑΙΤΗΣΗΣ,Process_omwnhfb.Activity_1md727w,10.0,10.0,10.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0388888888888889,0.03888888888888889,0.03888888888888889,1.5166666666666673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
ΕΚΔΟΣΗ ΛΗΞΙΑΡΧΙΚΗΣ ΠΡΑΞΗΣ,Process_omwnhfb.Activity_0sdqu1e,5.7806410256410246,0.25,12.106,225.44499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008028668091168086,3.4722222222222224E-4,0.01681388888888889,0.3131180555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
ΕΚΤΥΠΩΣΗ ΠΙΣΤΟΠ. ΟΙΚ. ΚΑΤΑΣΤΑΣΗΣ,Process_omwnhfb.Activity_1lelgtf,39.978674999999996,31.548,52.09,1599.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111051875,0.08763333333333333,0.14469444444444446,4.442075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
ΕΛΕΓΧΟΣ ΔΙΑΚΑΙΟΛΟΓΗΤΙΚΩΝ,Process_omwnhfb.Activity_0nqsgas,290.80145,44.074,496.003,11632.057999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1308945277777778,0.17139888888888888,1.9289005555555554,45.23578111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
ΕΝΑΡΞΗ ΑΠΟ ΠΛΕΥΡΑΣ ΔΗΜΟΥ,Process_omwnhfb.Event_03xfmkg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
ΛΗΞΗ ΑΠΟ ΠΛΕΥΡΑΣ ΔΗΜΟΥ,Process_omwnhfb.Event_0g8gqzq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
ΠΑΡΑΛΑΒΗ ΑΙΤΗΣΗΣ ΑΠΟ ΚΕΠ,Process_omwnhfb.Activity_031o7g4,10.0,10.0,10.0,400.0,0.0,0.0,0.0,0.0,92160.0,57600.0,230400.0,3686400.0,0.027777777777777773,0.027777777777777776,0.027777777777777776,1.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),57791.058,92655.00315,230975.167
Process Cycle Time excluding out of timetable hours (s),187.10599999999977,489.3670250000012,750.125
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),57791.058,92655.00314999999,230975.167
Cost,0.58531,1.7011268541666666,2.649718611111111


Process Cycle Time (s) distribution
From,To,Count
57791,75109,32
75110,92428,0
92429,109747,0
109748,127066,0
127067,144385,0
144386,161704,0
161705,179023,0
179024,196342,0
196343,213661,0
213662,230980,8

Process Waiting Time (s) distribution
From,To,Count
0,-1,40
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
57791,75109,32
75110,92428,0
92429,109747,0
109748,127066,0
127067,144385,0
144386,161704,0
161705,179023,0
179024,196342,0
196343,213661,0
213662,230980,8

Process Cost distribution
From,To,Count
0,0,15
1,1,24
2,2,1
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0

In-timetable Cycle time (s) distribution
From,To,Count
187,243,2
244,300,1
301,357,4
358,414,5
415,471,5
472,528,5
529,585,10
586,642,4
643,699,3
700,756,1



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,57981.777,374.27500000000146,0.0,1.3108611111111115
2,58209.349,599.1820000000007,0.0,2.009095277777778
3,230754.586,343.7740000000049,0.0,1.2107711111111112
4,58297.153,691.0930000000008,0.0,2.448776111111111
5,58187.366,583.8170000000027,0.0,1.999316388888889
6,57956.131,345.61699999999837,0.0,1.1538533333333334
